Matrícula,Nome do Aluno,E-mail,(1º Período) Ativ. Integradoras I,(1º Período) Bases Morfofuncionais,(1º Período) Bioquímica Mol. e Metab. I,(1º Período) Fund. Pesquisa Medicina I,(1º Período) Saúde e Sociedade I,(1º Período) Sociologia e Antropologia I,(2º Período) Ativ. Integradoras II,(2º Período) Biologia Molecular,(2º Período) Bioquímica Mol. e Metab. II,(2º Período) Habilidades Médicas I,(2º Período) Saúde e Sociedade II,(2º Período) Sist. Int. - Nervoso/Endócrino,(2º Período) Sist. Int. - Digestório/Reprodutor,(3º Período) Ativ. Integradoras III,(3º Período) Interação Agente Hosp. I,(3º Período) Imunologia Básica,(3º Período) Farmacologia I,(3º Período) Fund. Pesquisa Medicina II,(3º Período) Habilidades Médicas II,(3º Período) Saúde e Sociedade III,(3º Período) Sist. Int. - Cardiocirc.,(3º Período) Sist. Int. - Resp./Urinário,(3º Período) Sociologia e Antropologia II,(4º Período) Imunologia Clínica,(4º Período) Interação Agente Hosp. II,(4º Período) Farmacologia II,(4º Período) Fisiopatologia,(4º Período) Habilidades Médicas III,(4º Período) Patologia Geral,(4º Período) Saúde Mental I,(4º Período) Semiologia I,(5º Período) Medicina Legal,(5º Período) Patologia Especial,(5º Período) Saúde Mental II,(5º Período) Semiologia II,(5º Período) Semiologia Criança/Adol.,(6º Período) Dermatologia,(6º Período) Doenças Infec. e Parasitárias,(6º Período) Epidemiologia Clínica,(6º Período) Raciocínio Clínico,(6º Período) Otorrinolaringologia,(6º Período) Semiologia Ginec./Obst.,(7º Período) Clínica Criança/Adol.,(7º Período) Clínica Ginec./Obst.,(7º Período) Clínica Médica I,(7º Período) Ortopedia,(7º Período) Oftalmologia,(8º Período) Clínica Cirúrgica,(8º Período) Clínica Médica II,(8º Período) Saúde Mental III,(8º Período) Urgência e Emergência
2023162,Tatiana Cardoso,tatiana.cardoso@medicina.ficticio.edu,8.5,7.9,7.1,9.3,7.4,8.8,7.6,7.7,8.1,6.1,8.2,6.8,6.3,6.5,8.7,6.5,8.0,9.2,5.0,7.7,7.6,6.1,7.8,9.5,6.2,7.6,7.1,5.0,5.0,9.0,8.1,10.0,7.5,6.8,7.8,5.3,6.8,7.6,5.3,6.4,8.0,6.8,5.9,8.3,7.5,8.2,6.0,7.5,8.7,7.5,9.6
2023163,Diego Nogueira,diego.nogueira@medicina.ficticio.edu,8.0,9.8,7.3,6.3,6.3,8.8,7.7,7.7,8.4,5.0,7.4,7.3,9.0,9.7,5.4,8.4,10.0,8.3,6.2,8.5,5.7,6.7,8.4,7.5,9.7,7.5,8.1,7.5,7.1,5.0,6.9,7.7,8.3,7.7,6.5,6.5,7.9,8.5,6.6,7.6,6.4,5.0,9.2,5.3,7.7,6.7,6.4,9.5,7.3,6.9,5.9
2023164,Laura Vieira,laura.vieira@medicina.ficticio.edu,7.0,6.7,5.0,8.1,9.3,7.8,6.5,10.0,5.0,6.5,7.6,7.7,7.0,5.7,6.1,6.7,7.3,6.7,8.0,5.7,6.5,8.7,7.9,8.1,7.7,6.9,8.9,8.4,8.5,8.2,9.7,7.6,6.1,8.2,8.0,6.6,8.7,6.5,6.8,10.0,9.7,5.6,5.4,8.5,9.4,7.4,7.6,5.5,5.0,8.0,7.3
2023165,Alexandre Moura,alexandre.moura@medicina.ficticio.edu,5.0,7.2,6.5,6.2,6.9,7.0,7.1,10.0,6.5,9.1,5.0,8.5,5.1,5.4,6.8,8.0,10.0,7.5,7.4,7.9,9.1,7.3,8.4,5.5,7.4,5.0,8.9,8.4,5.0,6.6,6.2,7.4,5.5,7.3,8.1,5.3,6.8,6.4,7.6,6.4,5.7,9.8,9.0,6.2,10.0,8.1,8.2,6.9,5.0,7.5,7.5
2023166,Lorena Albuquerque,lorena.albuquerque@medicina.ficticio.edu,6.8,6.8,5.0,9.0,8.2,5.0,7.9,8.4,7.5,6.3,5.0,6.8,8.1,8.3,9.1,8.5,10.0,9.3,5.8,9.1,6.7,9.4,9.8,8.2,7.9,8.0,5.9,6.2,7.5,9.6,5.7,6.2,6.9,7.9,8.9,5.1,5.0,5.0,7.7,7.6,8.8,7.8,7.6,8.3,7.4,6.5,5.8,6.4,8.6,7.2,5.3
2023167,Felipe Lopes,felipe.lopes@medicina.ficticio.edu,7.4,9.5,7.9,7.9,8.1,9.5,10.0,8.4,7.9,8.7,9.0,6.2,8.0,7.1,5.0,9.0,7.3,7.0,9.2,8.3,5.5,5.5,6.4,10.0,6.1,7.7,6.8,5.0,8.1,6.3,7.6,7.8,7.0,5.8,8.1,6.7,8.1,5.0,8.5,5.5,8.0,8.8,5.0,8.8,5.0,9.1,5.0,6.5,9.5,7.6,7.8
2023168,Alexandre Soares,alexandre.soares@medicina.ficticio.edu,7.9,7.7,6.3,6.6,5.4,6.5,6.4,7.5,10.0,6.3,8.4,6.7,9.3,9.5,7.6,8.3,8.0,5.9,8.7,9.4,7.1,8.3,7.5,6.4,9.5,7.1,8.1,6.2,5.5,7.2,7.8,6.8,8.1,9.4,7.9,7.5,5.8,7.6,5.9,7.8,8.5,7.0,7.3,8.5,6.3,6.3,7.0,6.4,6.5,6.0,10.0
2023169,João Lima,joao.lima@medicina.ficticio.edu,7.7,7.1,6.3,8.2,7.8,5.9,9.0,7.3,5.0,7.4,9.1,5.4,6.4,7.9,8.4,9.1,5.0,5.5,5.0,9.1,7.9,5.4,7.3,5.0,9.8,6.8,8.8,8.7,8.5,7.2,8.1,6.8,5.0,10.0,6.4,8.6,9.4,7.8,5.3,7.8,7.8,6.4,6.8,5.9,5.0,6.2,9.8,6.1,6.7,10.0,8.7
2023170,Patrícia Souza,patricia.souza@medicina.ficticio.edu,7.6,8.1,6.8,5.6,8.0,5.6,9.0,7.9,8.2,9.3,7.3,6.6,7.2,9.7,7.8,10.0,5.4,5.3,8.6,5.0,8.6,6.8,7.1,8.7,9.6,5.0,6.0,7.5,7.6,9.2,7.1,5.3,6.7,10.0,7.6,5.0,7.6,6.5,8.5,8.9,5.0,8.8,6.8,6.6,10.0,5.9,8.6,9.3,8.2,8.4,7.9
2023171,Ricardo Monteiro,ricardo.monteiro@medicina.ficticio.edu,8.6,7.6,7.7,8.7,6.3,5.1,6.8,5.6,6.6,6.6,8.9,5.0,8.2,8.5,5.0,6.7,6.7,8.1,5.3,7.0,7.7,8.9,6.8,7.2,8.8,7.4,10.0,5.6,7.2,7.8,9.6,7.5,5.7,7.2,7.5,8.4,8.7,7.5,6.8,8.1,9.1,10.0,6.1,5.0,5.8,10.0,8.9,7.7,6.9,6.2,7.0
2023172,Júlia Rocha,julia.rocha@medicina.ficticio.edu,7.0,5.5,7.3,7.1,7.8,7.3,7.7,5.3,6.7,6.6,5.0,7.5,7.6,7.5,7.6,7.6,7.8,8.6,8.2,6.5,6.0,7.4,9.9,5.5,9.2,7.2,8.4,10.0,9.5,8.8,6.4,5.0,7.5,7.6,8.2,7.8,5.2,5.0,8.3,9.9,10.0,7.8,6.8,7.4,9.7,8.3,5.8,9.9,6.9,9.4,7.2
2023173,Igor Marques,igor.marques@medicina.ficticio.edu,7.4,9.6,7.6,6.8,6.0,7.3,8.4,7.0,6.1,10.0,6.3,9.5,5.9,8.9,7.7,5.1,6.5,8.9,8.5,7.3,5.1,9.4,7.3,7.4,6.5,8.7,5.9,8.3,6.5,7.8,10.0,8.0,5.8,7.6,7.8,6.0,5.0,7.3,10.0,7.8,7.3,7.9,6.8,6.0,8.6,9.2,9.6,8.0,7.4,6.6,6.1
2023174,Carolina Dias,carolina.dias@medicina.ficticio.edu,8.3,7.4,5.0,8.7,5.4,8.1,6.4,8.0,7.5,8.9,7.7,9.8,9.7,8.2,8.5,5.0,8.5,9.3,5.9,7.6,6.5,6.9,8.1,8.3,7.6,5.3,8.0,6.8,7.6,10.0,5.0,5.3,8.0,7.8,5.2,9.0,8.3,5.9,5.0,10.0,7.1,6.4,5.9,8.8,8.9,8.8,8.0,7.6,7.2,7.3,6.5
2023175,Jéssica Monteiro,jessica.monteiro@medicina.ficticio.edu,7.9,9.3,9.7,7.0,6.1,7.2,5.0,6.8,5.0,5.0,9.5,6.1,6.7,8.4,8.7,8.5,5.0,7.6,10.0,8.9,6.8,8.6,8.7,6.2,5.0,8.0,8.5,6.8,7.0,7.3,6.7,6.8,5.3,8.2,5.2,5.0,8.4,9.6,7.3,7.9,7.7,5.0,7.3,9.8,8.7,5.0,8.1,7.7,6.9,6.4,5.2
2023176,Eduardo Mendes,eduardo.mendes@medicina.ficticio.edu,5.0,10.0,5.0,5.1,9.3,6.0,9.2,8.8,6.1,7.4,5.0,7.4,5.9,7.8,7.1,8.2,5.0,5.1,7.4,7.3,8.1,6.7,8.6,6.3,7.7,8.2,5.8,5.5,8.7,7.7,7.7,7.0,8.1,8.3,6.5,10.0,7.8,8.2,6.7,8.6,9.4,6.3,9.7,7.0,5.2,9.6,8.9,8.7,7.2,8.0,9.1
2023177,Bianca Oliveira,bianca.oliveira@medicina.ficticio.edu,7.1,9.0,9.4,10.0,9.8,6.7,7.8,6.9,6.4,7.1,6.2,8.6,7.1,9.5,6.5,6.4,7.8,8.6,9.6,8.3,5.4,9.2,7.2,9.2,5.1,8.5,5.2,10.0,6.5,8.4,6.4,8.0,5.5,7.9,9.6,9.4,6.4,9.4,8.4,7.5,7.6,5.2,9.4,8.8,7.2,5.5,8.7,6.3,8.6,7.4,8.7
2023178,Victor Campos,victor.campos@medicina.ficticio.edu,9.1,6.6,6.3,10.0,7.5,8.8,6.6,5.0,8.3,9.5,8.2,8.8,7.3,7.6,7.3,7.2,6.1,7.2,8.9,7.0,7.3,8.8,9.5,7.0,7.1,5.6,7.8,5.8,8.4,6.7,5.9,5.4,8.5,8.3,6.8,8.8,5.2,8.8,5.0,5.0,9.2,6.3,6.4,8.8,8.3,7.5,7.2,6.7,8.4,8.4,5.1
2023179,Jéssica Barros,jessica.barros@medicina.ficticio.edu,9.4,10.0,8.6,7.0,9.0,7.9,8.4,5.8,7.8,6.4,6.3,10.0,9.8,6.8,8.7,7.3,9.4,7.3,8.9,5.4,7.9,10.0,6.1,6.9,6.8,10.0,10.0,9.5,9.6,7.7,8.6,5.0,5.1,6.0,7.5,6.0,8.1,5.6,5.5,8.1,7.9,7.1,5.4,6.2,8.5,8.3,7.2,7.2,8.1,5.1,6.6
2023180,Alice Barbosa,alice.barbosa@medicina.ficticio.edu,6.1,6.3,6.7,6.7,5.6,7.4,5.9,7.2,5.0,9.5,9.3,5.0,5.0,9.5,6.8,9.9,5.0,10.0,6.1,7.6,9.0,6.2,5.0,5.0,6.3,7.7,9.5,6.3,6.6,9.0,8.1,6.1,8.9,9.7,5.7,6.8,9.3,7.7,9.4,6.9,8.5,9.2,7.5,7.9,6.7,6.1,5.9,5.8,6.8,5.0,8.9
2023181,Vanessa Soares,vanessa.soares@medicina.ficticio.edu,6.7,7.5,8.1,6.8,10.0,7.5,6.9,7.2,8.0,8.5,8.0,5.0,10.0,8.0,7.6,7.4,8.9,7.6,8.1,5.6,6.1,6.6,5.0,5.8,9.1,6.8,9.1,7.5,8.3,7.1,5.7,5.6,6.3,5.9,10.0,7.2,10.0,6.0,9.8,10.0,5.5,9.9,6.4,10.0,6.8,8.0,7.1,6.8,7.9,6.9,7.4
2023182,Fernanda Ferreira,fernanda.ferreira@medicina.ficticio.edu,7.1,5.0,8.4,8.7,8.6,8.0,7.9,8.4,7.8,7.6,5.8,7.2,9.7,7.1,7.0,6.6,8.3,5.2,6.8,5.0,8.8,8.9,6.5,8.1,5.8,6.6,7.3,6.3,10.0,8.8,7.8,7.4,10.0,5.0,7.9,7.8,8.0,8.0,6.4,7.2,7.5,6.2,7.8,7.7,7.9,6.6,5.9,9.3,6.7,8.3,8.3
2023183,Jéssica Dias,jessica.dias@medicina.ficticio.edu,9.8,6.4,9.2,8.5,5.9,8.0,8.8,9.5,8.9,8.5,5.9,6.7,9.3,7.8,6.6,10.0,5.6,10.0,5.0,8.7,8.3,5.0,5.7,6.5,6.7,5.7,7.1,7.9,7.7,10.0,9.2,7.5,6.4,9.0,7.7,7.5,9.0,7.7,9.8,8.9,7.5,7.7,9.1,8.2,6.4,7.1,8.0,5.1,5.0,7.8,8.9
2023184,Victor Fernandes,victor.fernandes@medicina.ficticio.edu,5.9,5.7,6.9,6.8,8.3,7.9,9.0,8.4,6.8,8.7,6.5,8.1,5.9,6.0,7.8,5.7,6.8,5.6,6.4,8.0,6.4,5.0,5.7,7.7,6.0,9.5,8.9,9.4,8.7,9.5,6.3,7.6,9.0,8.6,8.6,7.9,7.5,8.7,8.1,10.0,6.2,7.8,8.2,5.2,5.1,10.0,8.5,7.7,7.7,8.3,7.0
2023185,Thiago Mendes,thiago.mendes@medicina.ficticio.edu,10.0,8.9,9.7,8.4,7.1,8.3,9.0,10.0,8.2,6.9,7.2,6.0,6.2,6.9,8.2,8.6,6.1,7.7,10.0,8.2,6.5,6.9,8.5,9.3,6.3,9.3,8.7,8.6,10.0,8.4,7.9,9.0,6.2,9.3,7.8,5.0,6.3,6.3,8.3,8.1,8.2,8.0,7.8,8.0,6.8,9.1,5.0,6.8,6.4,8.5,8.0
2023186,Caio Castro,caio.castro@medicina.ficticio.edu,7.3,10.0,6.7,7.7,6.4,7.7,8.9,5.0,6.7,6.7,9.1,7.7,5.1,9.0,6.6,8.1,9.2,7.4,6.9,7.6,7.7,6.7,5.3,7.8,7.2,9.3,5.2,6.9,8.4,7.3,7.4,8.1,6.4,5.3,7.7,7.0,8.4,8.2,8.8,5.9,7.0,7.8,5.5,7.2,5.0,7.3,5.6,6.1,7.3,7.1,6.5
2023187,Vitória Souza,vitoria.souza@medicina.ficticio.edu,5.0,7.2,5.1,6.9,6.1,6.7,9.7,8.9,5.6,10.0,5.0,7.4,6.7,7.8,7.8,6.7,7.1,7.7,6.2,7.6,9.0,8.1,8.9,7.1,5.0,7.8,7.4,6.3,8.6,7.0,6.3,7.6,8.4,9.8,6.2,7.7,7.2,8.7,7.9,6.5,5.3,8.9,6.4,9.2,7.2,6.2,5.8,9.2,6.5,7.2,7.3
2023188,Roberto Marques,roberto.marques@medicina.ficticio.edu,5.8,7.7,8.0,5.0,7.0,6.0,5.3,7.1,6.8,5.4,8.3,7.5,6.6,7.0,7.9,5.6,9.9,9.0,6.9,9.2,5.0,6.4,9.6,8.8,6.4,8.9,6.5,7.0,7.1,5.2,7.2,7.6,5.0,6.3,5.4,6.9,6.4,10.0,5.0,7.2,5.9,6.3,6.9,5.6,9.0,8.2,6.9,8.3,7.6,5.3,6.1
2023189,Helena Moreira,helena.moreira@medicina.ficticio.edu,8.9,6.1,7.7,5.4,8.0,8.6,10.0,5.2,8.4,6.9,5.3,7.5,5.8,7.6,6.3,7.7,8.1,9.7,7.4,8.5,7.1,8.0,8.4,9.6,5.2,8.1,5.4,5.4,8.2,10.0,7.3,9.3,7.0,6.5,7.5,6.4,7.1,10.0,8.2,5.4,7.6,7.3,9.2,6.1,6.5,6.9,8.6,5.5,8.1,8.2,8.9
2023190,Luana Silva,luana.silva@medicina.ficticio.edu,5.0,9.3,6.1,6.7,7.3,8.1,7.7,10.0,10.0,7.1,5.0,6.9,6.3,7.0,8.9,6.5,7.6,10.0,6.7,10.0,8.9,7.9,7.5,8.7,5.7,10.0,9.4,6.7,6.3,5.3,10.0,6.4,8.3,6.9,7.5,8.7,6.9,9.2,8.4,9.6,6.7,7.4,7.0,9.2,5.8,7.3,8.7,9.3,6.9,6.9,8.4
2023191,Daniel Fernandes,daniel.fernandes@medicina.ficticio.edu,7.2,5.9,8.8,6.4,5.5,7.1,7.1,6.4,6.0,8.6,7.1,7.0,7.2,9.6,7.0,7.7,7.7,6.2,6.5,5.7,7.3,7.0,7.6,7.0,8.4,6.4,8.5,5.7,5.9,8.5,5.0,5.0,6.6,6.4,9.9,6.5,9.6,7.2,10.0,7.4,9.1,5.4,6.4,5.3,8.7,6.7,5.0,7.9,8.5,7.1,6.5
2023192,Samuel Borges,samuel.borges@medicina.ficticio.edu,8.2,5.8,7.8,6.4,7.0,8.2,7.5,6.9,8.6,9.7,8.9,6.5,7.2,6.5,5.0,8.7,9.1,5.6,7.6,8.0,6.7,6.4,7.8,8.0,6.1,9.1,5.0,6.7,5.0,7.8,9.5,7.0,6.3,6.1,8.2,10.0,9.1,9.1,9.1,5.0,8.3,7.9,9.6,10.0,7.6,5.7,7.6,6.3,9.4,7.7,9.0
2023193,Bruna Albuquerque,bruna.albuquerque@medicina.ficticio.edu,9.0,10.0,7.9,10.0,9.3,7.1,9.4,10.0,8.4,6.9,9.9,6.5,6.5,8.7,8.0,7.3,7.9,7.1,7.6,7.2,7.4,7.3,8.3,9.5,9.5,8.5,8.9,5.4,8.3,6.0,8.2,7.5,5.3,9.8,6.7,7.1,9.1,9.3,7.9,7.3,9.5,5.9,7.8,10.0,8.0,7.5,7.5,9.4,7.6,9.4,7.0
2023194,Alexandre Batista,alexandre.batista@medicina.ficticio.edu,7.7,8.9,6.8,6.3,9.4,7.2,7.4,9.6,7.0,7.5,7.9,6.1,6.6,5.9,7.2,6.2,8.6,8.3,6.0,5.9,9.2,7.9,6.3,7.2,6.7,7.7,5.0,9.3,9.2,10.0,6.7,6.7,7.5,9.5,8.5,8.4,8.0,6.2,6.5,8.3,6.6,9.5,8.6,6.9,7.6,8.4,6.7,7.3,5.9,7.9,6.9
2023195,Arthur Cunha,arthur.cunha@medicina.ficticio.edu,6.7,8.3,6.1,9.0,8.5,8.2,7.8,5.0,5.9,7.6,7.6,5.0,5.8,5.7,8.1,9.5,6.9,9.7,6.3,10.0,6.6,9.4,7.7,5.9,10.0,8.9,6.4,8.8,9.5,9.9,8.2,7.6,7.9,9.0,5.9,9.4,7.3,9.6,7.2,6.8,9.4,8.5,9.1,7.3,6.1,6.8,5.3,7.8,7.5,7.2,5.0
2023196,Daniel Rocha,daniel.rocha@medicina.ficticio.edu,9.1,7.5,6.4,5.1,7.9,6.7,9.7,5.7,6.4,7.0,7.2,8.0,5.3,6.2,6.9,6.7,9.2,5.0,7.0,5.7,8.7,6.0,5.0,8.2,9.4,8.5,6.2,6.2,10.0,9.0,9.3,7.7,7.2,6.3,8.1,9.5,8.8,7.6,7.3,10.0,5.9,8.5,9.4,5.0,8.2,8.5,9.3,7.8,7.0,7.2,5.0
2023197,Bernardo Dias,bernardo.dias@medicina.ficticio.edu,7.7,6.9,8.9,9.3,6.6,8.7,7.6,9.2,8.9,8.4,6.8,5.7,5.5,7.2,5.0,7.5,9.5,8.5,8.1,10.0,7.5,9.2,6.9,6.4,5.6,7.6,8.8,8.3,5.9,6.6,6.5,7.4,6.8,8.1,5.0,8.5,7.6,6.7,9.0,8.1,7.2,8.0,10.0,5.5,7.2,7.5,5.0,5.4,10.0,6.2,6.5
2023198,Bernardo Fernandes,bernardo.fernandes@medicina.ficticio.edu,6.0,8.8,7.8,8.5,6.0,5.1,7.8,10.0,8.4,6.3,7.3,7.9,8.7,9.3,7.5,9.0,7.1,6.0,9.1,5.6,7.7,7.2,7.2,8.4,10.0,8.0,5.0,7.4,6.9,7.4,8.7,7.2,6.3,8.3,5.6,6.5,6.4,8.3,6.8,8.7,7.5,7.3,6.2,7.2,7.4,7.8,9.3,7.6,5.0,6.2,7.2
2023199,Arthur Freitas,arthur.freitas@medicina.ficticio.edu,5.0,5.6,8.2,5.0,5.1,8.5,8.3,8.2,8.3,9.1,8.3,7.8,7.0,8.0,8.6,6.1,9.1,8.2,5.6,7.1,7.3,5.0,5.3,5.0,8.7,7.1,8.9,8.3,7.0,10.0,9.4,7.6,6.4,7.5,9.7,8.8,5.3,5.0,8.1,8.9,8.8,10.0,5.0,9.1,8.6,9.6,8.1,8.5,7.1,8.9,10.0
2023200,Jéssica Souza,jessica.souza@medicina.ficticio.edu,6.9,8.0,8.8,8.6,5.0,6.5,7.9,9.0,5.5,6.8,10.0,5.5,8.5,9.0,5.7,8.0,7.2,7.5,8.9,9.2,6.1,7.6,6.9,5.0,9.1,5.8,10.0,8.0,8.2,6.7,5.4,7.4,9.7,8.8,7.0,5.0,7.6,8.6,8.2,6.7,7.2,6.3,10.0,8.5,8.7,5.0,7.5,7.3,8.7,7.4,9.4
teste,Aluno Teste,teste,9.0,9.2,9.0,9.5,9.7,9.3,9.5,9.9,9.3,9.6,9.0,9.5,9.0,9.5,9.1,9.5,9.8,9.1,9.6,9.0,9.8,9.5,9.4,9.0,9.0,9.1,9.0,9.7,9.8,9.8,9.8,9.3,9.0,8.0,5.1,5.1,5.0,7.9,5.1,5.1,7.4,7.2,7.5,7.5,7.5,3.4,6.4,7.5,4.8,7.1,8.5
2023031,Fernanda Almeida,fernanda.almeida@medicina.ficticio.edu,4.6,4.2,2.4,4.9,4.0,3.7,6.3,5.3,2.5,4.2,3.8,4.4,4.4,3.3,6.3,4.1,3.8,5.6,3.6,3.4,3.7,6.6,3.5,3.6,6.4,2.8,5.4,6.8,3.6,6.2,5.3,5.1,5.5,6.3,3.4,3.0,3.8,5.3,2.4,4.7,2.7,3.7,6.7,4.5,5.7,5.7,5.0,5.2,3.7,5.3,6.4
2023032,Carlos Oliveira,carlos.oliveira@medicina.ficticio.edu,8.1,9.0,7.9,7.5,7.8,7.2,5.9,8.4,8.6,7.6,9.5,9.1,7.1,7.2,7.8,9.1,9.5,9.5,9.1,7.0,8.8,7.1,8.1,6.6,6.9,5.9,9.2,6.9,10.0,8.7,7.8,6.3,7.7,7.7,7.0,9.3,9.0,7.5,6.5,8.3,6.4,6.9,8.4,8.3,8.6,9.2,9.3,8.4,8.5,9.1,7.5
2023033,Felipe Barbosa,felipe.barbosa@medicina.ficticio.edu,7.4,5.3,7.6,7.0,8.2,7.9,7.4,8.8,7.8,6.2,6.9,9.0,8.0,6.9,9.0,5.7,5.2,7.8,7.4,8.4,5.8,7.6,8.3,7.4,7.3,6.7,7.4,7.7,9.1,7.0,8.2,7.6,6.4,7.4,6.0,8.4,7.2,6.8,7.0,10.0,7.8,7.2,6.3,8.3,8.9,9.5,5.5,5.8,7.4,7.6,8.1
2023034,Leonardo Silva,leonardo.silva@medicina.ficticio.edu,4.7,5.5,5.9,4.6,4.1,7.2,5.6,6.8,5.0,6.4,5.3,6.4,7.9,6.0,7.1,5.2,5.6,5.5,4.4,6.5,8.4,6.1,6.7,5.4,7.0,7.0,10.0,5.4,5.9,5.0,5.6,7.5,5.4,6.7,6.0,5.6,6.9,7.5,5.1,4.9,6.6,4.5,3.9,5.8,6.2,6.0,7.0,5.8,8.0,5.3,3.6
2023035,Thiago Gomes,thiago.gomes@medicina.ficticio.edu,8.2,8.5,7.4,7.6,6.4,7.4,9.9,9.7,6.4,8.5,9.1,9.4,8.4,8.3,8.6,10.0,7.9,10.0,10.0,6.9,8.4,8.7,7.8,9.6,9.6,10.0,8.7,9.1,9.2,8.3,9.7,8.6,8.8,8.8,6.8,6.9,8.4,7.8,10.0,9.6,9.0,10.0,8.8,10.0,7.6,8.4,7.6,8.7,9.1,6.8,6.8
2023036,Rafael Souza,rafael.souza@medicina.ficticio.edu,9.7,10.0,8.8,8.6,9.7,10.0,8.4,9.7,9.9,8.2,10.0,10.0,10.0,7.2,10.0,9.8,10.0,10.0,8.9,9.9,9.4,6.2,8.6,7.9,7.9,8.0,10.0,10.0,7.2,9.7,8.9,7.3,8.4,8.8,8.8,8.8,9.6,9.2,10.0,9.4,8.5,10.0,9.1,10.0,8.6,8.3,6.5,7.5,6.9,9.4,7.8
2023037,Paulo Fernandes,paulo.fernandes@medicina.ficticio.edu,8.1,8.1,5.2,8.2,7.4,7.6,10.0,8.1,8.1,6.8,8.1,9.2,6.3,8.2,8.4,8.1,8.1,6.3,6.9,7.2,8.6,9.2,7.8,7.1,6.1,9.1,7.0,7.1,8.1,9.4,7.9,7.3,6.8,7.3,5.7,5.7,7.7,7.8,5.5,8.0,6.7,7.7,7.7,6.3,5.1,8.4,6.6,7.9,7.9,9.5,7.3
2023038,Bruna Silva,bruna.silva@medicina.ficticio.edu,10.0,8.7,10.0,9.9,10.0,8.9,10.0,8.7,9.3,9.7,8.6,8.2,8.3,10.0,6.4,8.5,10.0,10.0,10.0,8.6,7.5,10.0,7.8,8.0,9.7,8.8,7.2,10.0,10.0,8.0,10.0,10.0,9.4,8.6,8.5,10.0,9.4,10.0,10.0,10.0,10.0,9.1,9.7,10.0,9.6,9.4,9.1,9.5,7.9,9.1,9.3
2023039,Diego Gomes,diego.gomes@medicina.ficticio.edu,7.3,7.6,8.2,9.9,9.5,10.0,7.8,8.2,7.8,8.0,7.0,8.1,7.7,9.7,9.7,8.0,5.4,9.2,9.5,10.0,6.7,8.4,7.1,8.3,8.8,10.0,9.1,8.6,10.0,10.0,9.3,8.6,6.1,10.0,6.8,7.1,9.1,7.8,6.8,10.0,7.0,9.3,9.8,7.6,9.7,9.0,10.0,8.3,9.1,9.4,9.9
2023040,Gustavo Lopes,gustavo.lopes@medicina.ficticio.edu,5.9,4.8,3.8,3.1,3.4,6.2,4.9,5.5,2.9,5.5,4.2,4.7,5.5,5.0,5.0,5.2,4.0,4.6,3.9,4.9,5.9,3.4,4.0,4.0,4.4,5.0,6.3,1.8,6.2,4.9,7.2,4.1,4.2,6.0,4.1,5.7,3.9,4.0,5.7,4.9,4.0,6.7,5.7,4.1,3.2,4.2,5.6,2.6,5.6,4.1,3.8
2023041,Priscila Ribeiro,priscila.ribeiro@medicina.ficticio.edu,5.8,7.8,7.3,4.7,6.0,8.1,5.5,3.8,5.1,5.8,5.6,5.4,5.9,3.8,4.5,6.0,6.2,4.6,5.1,5.6,6.4,9.0,7.6,6.0,3.0,5.2,7.2,7.2,5.6,6.4,7.5,6.4,5.5,6.2,4.6,6.3,6.7,7.6,6.1,7.8,7.7,5.9,5.5,3.9,8.0,6.9,5.6,5.5,5.8,4.1,5.1
2023042,Fernanda Soares,fernanda.soares@medicina.ficticio.edu,10.0,8.0,8.1,6.8,8.1,9.0,7.6,8.3,7.7,7.9,7.7,8.4,8.9,10.0,8.7,9.3,8.8,9.0,9.2,8.5,8.3,9.6,9.6,7.0,8.4,8.2,8.9,7.9,9.6,8.6,9.1,7.8,8.4,5.6,7.9,7.9,8.1,8.1,7.8,9.8,9.2,8.2,9.9,7.9,7.8,5.4,7.8,9.3,9.5,7.9,10.0
2023043,Paulo Barbosa,paulo.barbosa@medicina.ficticio.edu,5.1,5.0,7.0,5.5,2.6,5.4,5.5,8.0,5.3,4.6,5.9,5.4,6.6,3.0,6.1,7.6,4.8,6.0,3.3,3.9,5.8,7.8,7.0,6.2,5.3,5.7,4.1,4.0,5.5,5.5,4.6,6.6,5.1,2.4,5.3,7.3,7.2,4.1,4.2,7.8,6.8,6.7,6.6,3.3,5.0,4.7,4.6,4.3,4.8,5.5,7.9
2023044,Lucas Ribeiro,lucas.ribeiro@medicina.ficticio.edu,9.7,8.9,9.0,8.2,9.4,8.9,8.3,7.3,8.5,10.0,10.0,8.6,9.5,8.8,10.0,9.1,9.3,8.0,10.0,8.8,9.7,7.0,7.9,9.9,10.0,9.4,10.0,8.6,8.2,8.3,9.0,9.5,9.3,10.0,9.9,8.4,8.9,9.6,9.2,10.0,8.5,9.5,7.8,9.1,9.1,7.2,10.0,8.5,8.9,7.7,7.5
2023045,Amanda Almeida,amanda.almeida@medicina.ficticio.edu,6.5,9.2,7.8,5.6,9.8,7.0,7.9,6.8,9.1,9.1,8.6,8.2,6.9,8.2,8.3,9.4,7.2,8.7,6.5,9.1,9.4,8.7,9.1,8.2,6.8,7.0,8.2,8.3,8.0,9.8,6.7,8.0,7.5,9.0,6.0,7.1,8.9,6.3,8.6,7.4,8.3,5.6,7.5,7.3,10.0,5.5,7.9,8.3,7.4,5.3,9.8
